시도교육청코드,시도교육청명,행정표준코드,학교명,주야과정명,계열명,학과명,수정일자
K10,강원특별자치도교육청,       ,AIDT고등학교,주간,일반계,공통,20260101
K10,강원특별자치도교육청,7801089,가곡고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801089,가곡고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801089,가곡고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801090,간동고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801090,간동고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801090,간동고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801091,갑천고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801091,갑천고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801091,갑천고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801092,강릉고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801092,강릉고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801092,강릉고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801092,강릉고등학교,주간,일반계,자연과정,20260101
K10,강원특별자치도교육청,7801093,강릉명륜고등학교,주간,일반계,공통과정(남),20260101
K10,강원특별자치도교육청,7801093,강릉명륜고등학교,주간,일반계,인문사회과정(남),20260101
K10,강원특별자치도교육청,7801093,강릉명륜고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801093,강릉명륜고등학교,주간,일반계,자연과정(남),20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,상업계,사무회계과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,상업계,인터넷정보과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,상업계,정보처리과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,상업계,회계과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,일반계,보통과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801094,강릉문성고등학교,주간,일반계,자연과정,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,공통과정,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,금속과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,금형설계과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,기계과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,비서과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,상업과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,섬유과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,영어과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,인문사회과정,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,일반학과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,자연과정,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,전기과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,전자계산과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,체육과,20260101
K10,강원특별자치도교육청,7801095,강릉여자고등학교,주간,일반계,항공과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,가사계,미용디자인과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,가사계,보건간호과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,가사계,조리제빵과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,그린자동차과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,식품공업과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,식품과학과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,신재생에너지과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,인터넷통신과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,자동차과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,자동차디자인과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,자동차크리닉과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,전자계산기과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,공업계,전자미디어통신과,20260101
K10,강원특별자치도교육청,7801096,강릉정보공업고등학교,주간,상업계,디지털정보처리과,20260101
