시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,서울특별시,서울특별시교육청,공립,5678,서울특별시 송파구 송이로 42,(송파동/가락고등학교),02-416-4658,http://garak.sen.hs.kr,남여공학,02-421-9669,일반고,N,일반계,,후기,주간,19881223,19890428,20230615
B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,서울특별시,서울특별시교육청,공립,3709,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,남여공학,02-307-6605,일반고,N,일반계,,후기,주간,20130301,20130501,20230615
B10,서울특별시교육청,7010117,강동고등학교,Kangdong High School,고등학교,서울특별시,서울특별시교육청,사립,5279,서울특별시 강동구 구천면로 572,(상일동),02-427-0231,http://kangdong.sen.hs.kr,남여공학,02-441-3494,일반고,N,일반계,,후기,주간,19841217,19850908,20230615
B10,서울특별시교육청,7010118,강서고등학교,Gangseo High School,고등학교,서울특별시,서울특별시교육청,사립,7958,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),02-2642-0725,http://gangseo.sen.hs.kr,남,02-2651-3046,일반고,N,일반계,,후기,주간,19831101,19831101,20230615
B10,서울특별시교육청,7010958,강일고등학교,GANGIL HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,공립,5213,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,남여공학,02-428-6810,일반고,N,일반계,,후기,주간,20100301,20100404,20230615
B10,서울특별시교육청,7010058,개포고등학교,Gaepo High School,고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),02-576-3333,http://www.gaepo.hs.kr,남여공학,02-571-6560,일반고,N,일반계,,후기,주간,19870512,19870512,20230615
B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,Konkuk University High School,고등학교,서울특별시,서울특별시교육청,사립,5029,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),070-7012-3500,http://konkuk.sen.hs.kr,남여공학,02-456-0646,일반고,N,일반계,,후기,주간,19800131,19800515,20230615
B10,서울특별시교육청,7010059,경기고등학교,Kyunggi High School,고등학교,서울특별시,서울특별시교육청,공립,6086,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),02-3496-7300,http://kyunggi.hs.kr/,남,02-3496-7497,일반고,N,일반계,,후기,주간,19001003,19001003,20230615
B10,서울특별시교육청,7010271,경기기계공업고등학교,Gyeonggi Mechanical Technical High School,고등학교,서울특별시,서울특별시교육청,공립,1810,서울특별시 노원구 공릉로 264,(하계동),02-2289-1600,http://www.ggmt.hs.kr,남여공학,02-978-4327,특성화고,N,전문계,,전기,주간,19570215,19570215,20230615
B10,서울특별시교육청,7010272,경기상업고등학교,Gyeonggi Commercial High School,고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로 136,(청운동),02-737-6490,http://ggc.sen.hs.kr,남여공학,02-722-0504,특성화고,N,전문계,,전기,주간,19230206,19230514,20230615
B10,서울특별시교육청,7010060,경기여자고등학교,Kyunggi Girls’High School,고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),02-573-6797,http://www.kgg.hs.kr,여,02-575-1157,일반고,N,일반계,,후기,주간,19080401,19080401,20230615
B10,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Gyeonggi Girls’ High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,6324,서울특별시 강남구 삼성로 29,(개포동/경기여자고등학교),02-573-6796,http://www.kgg.hs.kr,여,02-575-1157,일반고,N,일반계,,전기,주간,19740301,20020101,20230709
B10,서울특별시교육청,7010061,경동고등학교,Kyungdong High School,고등학교,서울특별시,서울특별시교육청,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2353,www.kyungdong.hs.kr,남,02-926-7525,자율고,N,일반계,,후기,주간,19400416,19400416,20230615
B10,서울특별시교육청,7010386,경동고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Kyungdong High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,2870,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2077,http://kyungdong.cyber.hs.kr,남여공학,02-926-7525,일반고,N,일반계,,전기,주간,19741231,20020101,20230709
B10,서울특별시교육청,7010120,경문고등학교,Kyungmoon High School,고등학교,서울특별시,서울특별시교육청,사립,6995,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),02-535-1301,http://kyungmoon.sen.hs.kr,남,02-535-1230,일반고,N,일반계,,전기,주간,19800124,19800507,20230615
B10,서울특별시교육청,7010062,경복고등학교,Kyungbock High School,고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),02-397-5301,http://kyungbock.sen.hs.kr,남,02-736-0422,일반고,N,일반계,,후기,주간,19210502,19210502,20230615
B10,서울특별시교육청,7010387,경복고등학교부설방송통신고등학교,Open highschool affiliated with KYUNGBOCK,방송통신고등학교,서울특별시,서울특별시교육청,공립,3047,서울특별시 종로구 자하문로28가길 9,(청운동),02-397-5470,http://www.cyber.hs.kr/user/index.do,남여공학,02-736-0422,일반고,N,일반계,,전기,주간,19740323,19740323,20230709
B10,서울특별시교육청,7010835,경복비즈니스고등학교,Kyungbok Business High School,고등학교,서울특별시,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://kbb.sen.hs.kr,남여공학,02-3661-8372,특성화고,N,전문계,,전기,주간,19721002,19721002,20250914
B10,서울특별시교육청,7010122,경복여자고등학교,Kyungbok Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,7589,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),02-3661-1741,http://www.kb.hs.kr,여,02-3661-3795,일반고,N,일반계,,후기,주간,19931002,19931002,20230615
B10,서울특별시교육청,7010124,경성고등학교,Gyeongseong High School,고등학교,서울특별시,서울특별시교육청,사립,3977,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),02-3140-1168,http://www.gyeongseong.hs.kr,남,02-334-7533,일반고,N,일반계,,후기,주간,19671229,19671023,20230615
