능력단위코드,자격종목코드,자격종목명,능력단위유형코드,능력단위유형명,최소훈련시간,훈련기준시간합계,필수능력단위기준시간,선택능력단위기준시간,직무기초능력기준시간,시험기관명,능력단위명,기준버전
1501020104_19v3,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,요소공차검토,v1.0
1501020105_19v3,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,요소부품재질선정,v1.0
1501020106_16v3,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,체결요소설계,v1.0
1501020111_16v3,B021,일반기계기사,MAND,필수,45,800,420,0,24,한국산업인력공단,2D도면작업,v1.0
1501020116_19v4,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,도면검토,v1.0
1501020213_16v3,B021,일반기계기사,MAND,필수,45,800,420,0,24,한국산업인력공단,형상모델링 검토,v1.0
1501020205_19v4,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,요소부품설계검토,v1.0
1501020206_14v2,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,요소부품재질검토,v1.0
1501020208_19v3,B021,일반기계기사,MAND,필수,45,800,420,0,24,한국산업인력공단,동력전달장치설계,v1.0
1501020209_16v3,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,유공압시스템설계,v1.0
1501020212_16v3,B021,일반기계기사,MAND,필수,45,800,420,0,24,한국산업인력공단,형상모델링 작업,v1.0
1501020120_19v4,B021,일반기계기사,MAND,필수,30,800,420,0,24,한국산업인력공단,동력전달요소설계,v1.0
1601050101_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,피복아크용접 작업안전보건관리,v1.0
1601050206_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,솔리드와이어용접 작업,v1.0
1601050307_14v1,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,가스텅스텐아크용접부 검사,v1.0
1601050313_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 파이프용접,v1.0
1601050207_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,플럭스코어드와이어용접 작업,v1.0
1601050311_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 맞대기용접,v1.0
1601050107_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,피복아크용접부 검사,v1.0
1601050208_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,CO2용접 용접부 검사,v1.0
1601050205_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,CO2용접 가용접작업,v1.0
1601050105_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,피복아크용접 가용접 작업,v1.0
1601050102_16v2,B022,용접기사,MAND,필수,45,800,615,145,40,한국산업인력공단,피복아크용접 도면해독,v1.0
1601050111_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,피복아크용접 맞대기용접,v1.0
1601050113_16v2,B022,용접기사,MAND,필수,60,800,615,145,40,한국산업인력공단,피복아크용접 파이프용접,v1.0
1601050305_16v2,B022,용접기사,MAND,필수,30,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 가용접 작업,v1.0
1601050312_16v2,B022,용접기사,SEL,선택,60,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 필렛용접,v1.0
1601050310_16v2,B022,용접기사,SEL,선택,60,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 비드쌓기,v1.0
