학교명,학과명,시도,고교유형,졸업자수,취업률,진학률,조사연도
"강서공업고등학교","건축과","서울","특성화고(직업)",38,39.5,36.8,2024
"강서공업고등학교","스마트케미칼과","서울","특성화고(직업)",29,17.2,55.2,2024
"강서공업고등학교","정보통신과","서울","특성화고(직업)",44,25,36.4,2024
"강서공업고등학교","VR콘텐츠디자인과","서울","특성화고(직업)",28,17.9,14.3,2024
"경기기계공업고등학교","글로벌반","서울","특성화고(직업)",8,0,87.5,2025
"경기기계공업고등학교","항공드론과","서울","특성화고(직업)",21,4.8,71.4,2025
"경기기계공업고등학교","스마트팩토리과","서울","특성화고(직업)",22,9.1,40.9,2025
"경기기계공업고등학교","스마트설비과","서울","특성화고(직업)",10,0,20,2025
"경기기계공업고등학교","산업안전제철과","서울","특성화고(직업)",21,9.5,33.3,2025
"경기기계공업고등학교","하이텍융합기계과","서울","특성화고(직업)",14,28.6,14.3,2025
"경기기계공업고등학교","컴퓨터전자과","서울","특성화고(직업)",24,4.2,54.2,2025
"경기기계공업고등학교","전기제어과","서울","특성화고(직업)",36,25,36.1,2025
"경기기계공업고등학교","3D융합설계과","서울","특성화고(직업)",12,8.3,75,2025
"경기기계공업고등학교","자동화기계과","서울","특성화고(직업)",13,7.7,30.8,2025
"서울방송고등학교","방송영상과","서울","특성화고(직업)",42,14.3,54.8,2025
"서울방송고등학교","방송시스템과","서울","특성화고(직업)",38,10.5,63.2,2025
"서울방송고등학교","방송연예공연과","서울","특성화고(직업)",21,14.3,38.1,2025
"서울방송고등학교","미디어콘텐츠과","서울","특성화고(직업)",41,4.9,61,2025
"서울공업고등학교","산업설비과","서울","특성화고(직업)",25,60,28,2025
"서울공업고등학교","토목건축과","서울","특성화고(직업)",37,18.9,40.5,2025
"서울공업고등학교","정밀기계과","서울","특성화고(직업)",11,45.5,36.4,2025
"서울공업고등학교","스마트자동화과","서울","특성화고(직업)",24,20.8,45.8,2025
"서울공업고등학교","자동차과","서울","특성화고(직업)",19,26.3,52.6,2025
"서울공업고등학교","신재생에너지과","서울","특성화고(직업)",14,28.6,35.7,2025
"서울공업고등학교","전기전자과","서울","특성화고(직업)",34,64.7,11.8,2025
"서울공업고등학교","신소재금형과","서울","특성화고(직업)",13,23.1,38.5,2024
"서울공업고등학교","세라믹아트과","서울","특성화고(직업)",11,18.2,45.5,2025
"서울공업고등학교","바이오화공과","서울","특성화고(직업)",13,30.8,53.8,2025
"서울공업고등학교","섬유디자인과","서울","특성화고(직업)",18,11.1,83.3,2025
"서울공업고등학교","그래픽아트과","서울","특성화고(직업)",31,25.8,41.9,2025
"서울웹툰애니메이션고등학교","미디어아트과","서울","특성화고(직업)",6,0,66.7,2025
"서울웹툰애니메이션고등학교","게임콘텐츠과","서울","특성화고(직업)",12,0,66.7,2025
"서울웹툰애니메이션고등학교","스마트시스템과","서울","특성화고(직업)",5,20,60,2025
"서울웹툰애니메이션고등학교","조명아트과","서울","특성화고(직업)",8,50,50,2025
"성동공업고등학교","산업설비과","서울","특성화고(직업)",10,60,20,2025
"성동공업고등학교","건축토목과","서울","특성화고(직업)",15,60,26.7,2025
"성동공업고등학교","스마트팩토리과","서울","특성화고(직업)",4,50,25,2025
"성동공업고등학교","컴퓨터응용기계과","서울","특성화고(직업)",16,25,31.3,2025
"성동공업고등학교","전기과","서울","특성화고(직업)",20,10,5,2025
"성동공업고등학교","전자과","서울","특성화고(직업)",12,41.7,33.3,2025
"성동공업고등학교","주얼리디자인과","서울","특성화고(직업)",15,26.7,60,2024
"성수공업고등학교","스마트기계과","서울","특성화고(직업)",1,0,100,2024
"성수공업고등학교","자동차과","서울","특성화고(직업)",5,0,80,2024
"성수공업고등학교","전기과","서울","특성화고(직업)",1,0,100,2024
"성수공업고등학교","의료전자과","서울","특성화고(직업)",2,0,100,2024
"서울인공지능고등학교","전기정보과","서울","특성화고(직업)",28,32.1,17.9,2025
"서울인공지능고등학교","AI컴퓨터과","서울","특성화고(직업)",24,8.3,29.2,2025
"서울인공지능고등학교","모바일전자과","서울","특성화고(직업)",20,0,20,2024
"서울인공지능고등학교","하이텍디자인과","서울","특성화고(직업)",17,11.8,41.2,2025
"용산철도고등학교","건축토목과","서울","특성화고(직업)",16,31.3,43.8,2024
"용산철도고등학교","공조설비과","서울","특성화고(직업)",16,25,50,2025
"용산철도고등학교","자동차과","서울","특성화고(직업)",17,41.2,41.2,2025
"용산철도고등학교","전기과","서울","특성화고(직업)",21,28.6,66.7,2024
"용산철도고등학교","철도운전기계과","서울","특성화고(직업)",37,29.7,45.9,2025
"용산철도고등학교","전자통신과","서울","특성화고(직업)",25,24,40,2024
"한강미디어고등학교","방송미디어과","서울","특성화고(직업)",38,10.5,52.6,2025
"한강미디어고등학교","웹미디어콘텐츠과","서울","특성화고(직업)",43,16.3,60.5,2025
"한강미디어고등학교","산업디자인과","서울","특성화고(직업)",41,7.3,70.7,2025
"한강미디어고등학교","사진영상과","서울","특성화고(직업)",38,18.4,63.2,2025
"휘경공업고등학교","기계설비과","서울","특성화고(직업)",1,0,0,2024
"휘경공업고등학교","컴퓨터응용기계과","서울","특성화고(직업)",5,0,40,2024
"휘경공업고등학교","친환경자동차과","서울","특성화고(직업)",20,40,35,2024
"휘경공업고등학교","디지털전자과","서울","특성화고(직업)",5,0,60,2024
"휘경공업고등학교","전기제어과","서울","특성화고(직업)",9,33.3,33.3,2024
"휘경공업고등학교","건설교통과","서울","특성화고(직업)",10,30,40,2024
"광운인공지능고등학교","컴퓨터전기과","서울","특성화고(직업)",28,53.6,21.4,2024
"광운인공지능고등학교","컴퓨터전자과","서울","특성화고(직업)",29,6.9,86.2,2024
"광운인공지능고등학교","인공지능소프트웨어과","서울","특성화고(직업)",27,40.7,25.9,2025
"광운인공지능고등학교","네트워크통신과","서울","특성화고(직업)",21,0,19,2025
"광운인공지능고등학교","전자융합과","서울","특성화고(직업)",23,30.4,47.8,2025
"단국대학교부속소프트웨어고등학교","게임콘텐츠과","서울","특성화고(직업)",21,0,66.7,2025
"단국대학교부속소프트웨어고등학교","인공지능소프트웨어과","서울","특성화고(직업)",39,0,69.2,2025
